,full_price,city,eu_country,bedrooms,person_capacity,cleanliness_rating,guest_satisfaction_overall,distance_to_center,distance_to_metro
567,614.4400440559605,amsterdam,Netherlands,3,5.0,9.0,90.0,2.928281339168406,1.621455341084057
568,1413.3058374147588,amsterdam,Netherlands,3,4.0,8.0,88.0,2.327682714835818,0.7181427551568089
569,796.2880509924308,amsterdam,Netherlands,2,4.0,10.0,100.0,3.602701442903627,0.1007740057793931
576,602.0200126543716,amsterdam,Netherlands,0,4.0,9.0,94.0,1.5170885254790842,1.4293613333939603
584,774.2600707707451,amsterdam,Netherlands,1,4.0,10.0,100.0,1.4323810575774172,1.3824197464176904
586,792.7729477655661,amsterdam,Netherlands,1,3.0,10.0,98.0,1.478541063093686,1.6031666695885105
592,642.5608698708786,amsterdam,Netherlands,3,4.0,9.0,93.0,3.819808218651902,2.2242555731559417
593,618.1894874979496,amsterdam,Netherlands,2,4.0,8.0,90.0,2.1442717752745533,1.803145765040602
604,688.0228716049962,amsterdam,Netherlands,1,2.0,10.0,100.0,0.7263702059219925,0.7930230502351593
606,786.4457619572096,amsterdam,Netherlands,1,4.0,9.0,95.0,0.955192831876313,0.5876071825479904
607,1007.6629250345652,amsterdam,Netherlands,1,2.0,10.0,100.0,1.016519295733865,0.5660492016832768
612,1075.387247205493,amsterdam,Netherlands,2,4.0,9.0,95.0,1.9425336211431696,1.4927500311169253
614,651.2314578304783,amsterdam,Netherlands,2,4.0,10.0,91.0,4.152665401766405,0.6569883924606378
616,675.6028402034074,amsterdam,Netherlands,2,4.0,8.0,93.0,4.755320247436294,0.981847879121448
618,921.6600660839408,amsterdam,Netherlands,1,3.0,10.0,100.0,2.283412617816736,0.6649530822965309
621,725.0486255946383,amsterdam,Netherlands,2,4.0,10.0,97.0,3.694524878999427,1.4575222725558423
624,797.6940922831768,amsterdam,Netherlands,2,4.0,10.0,95.0,1.2727769466762298,1.3529367815798892
626,651.2314578304783,amsterdam,Netherlands,2,4.0,6.0,65.0,1.7688966597852032,1.5851594458807003
631,1290.2772244744922,amsterdam,Netherlands,2,4.0,10.0,100.0,1.6040226674417173,0.6880204806236558
637,624.2823330911818,amsterdam,Netherlands,1,2.0,10.0,97.0,1.5525786171941904,1.0693014214448182
639,768.1672251775128,amsterdam,Netherlands,2,4.0,10.0,98.0,2.954354853364539,1.45554012551093
643,737.2343167811028,amsterdam,Netherlands,2,4.0,9.0,96.0,2.3719504943430523,0.4273375576172765
645,952.5929744803508,amsterdam,Netherlands,3,3.0,10.0,100.0,3.0789846654690423,0.4967233289140303
650,1259.578656293207,amsterdam,Netherlands,2,4.0,9.0,92.0,0.5628455510908131,0.4847709182039126
655,958.4514798584586,amsterdam,Netherlands,3,6.0,9.0,96.0,7.150916887381289,3.9465216576496993
